column,required,type,allowed values,notes
lei,yes,text,20-character LEI,"One filer per file. The value is hashed before it leaves the process and never appears in a response."
activity_year,yes,integer,e.g. 2024,"One filing year per file. A scan is a pure function of filer, year, specification and snapshot."
action_taken,yes,integer,1-8,"1 originated and 2 approved-not-accepted are both lender approvals. 3 is denied. 4-8 are excluded from scoring; 4 and 5 are reported as context."
denial_reason_1,no,integer,1-9 or blank,"Required in practice on every action_taken=3 row, or the denial is untestable. 10 (not applicable) is read as blank. 1 debt-to-income, 2 employment, 3 credit history, 4 collateral, 5 insufficient cash, 6 unverifiable, 7 incomplete, 8 mortgage insurance denied, 9 other."
denial_reason_2,no,integer,1-9 or blank,Secondary reason. Multiple codes resolve conservatively.
denial_reason_3,no,integer,1-9 or blank,
denial_reason_4,no,integer,1-9 or blank,
loan_purpose,yes,integer,"1,2,31,32,4,5","1 purchase, 2 home improvement, 31 refinancing, 32 cash-out refinancing, 4 other, 5 not applicable. Exact-match field."
occupancy_type,yes,integer,1-3,"1 principal residence, 2 second residence, 3 investment. Exact-match field."
lien_status,yes,integer,1-2,"1 first lien, 2 subordinate. Exact-match field."
loan_type,yes,integer,1-4,"1 conventional, 2 FHA, 3 VA, 4 RHS/FSA. Exact-match field."
county_code,yes,text,5-digit FIPS,"State+county, e.g. 06073. This is the geography ceiling: census tract is never loaded and never emitted."
aus_1,yes,integer,1-7,Automated underwriting system result. Exact-match field.
construction_method,yes,integer,1-2,"1 site-built, 2 manufactured. Exact-match field."
total_units,yes,integer,1-4,Rows above 4 units are outside the population and are dropped.
submission_of_application,yes,integer,1-3,"1 submitted directly, 2 not submitted directly, 3 not applicable. Exact-match field."
initially_payable_to_institution,yes,integer,1-3,"CAUTION: in a real FFIEC file this field is 3 on every denial and 1 or 2 on every origination, because a denied application has no loan. It is therefore determined by the outcome and is NOT in the blocking key from specification v1.2.0. It is still loaded, and the post-treatment guard checks it."
conforming_loan_limit,yes,text,"C, NC, U, NA","C conforming, NC non-conforming. Exact-match field."
amortization,yes,integer,1-2,"1 has other non-amortizing features, 2 does not. Exact-match field."
interest_only_payment,yes,integer,1-2,1 yes 2 no. Exact-match field.
balloon_payment,yes,integer,1-2,1 yes 2 no. Exact-match field.
negative_amortization,yes,integer,1-2,1 yes 2 no. Exact-match field.
has_co_applicant,yes,integer,0-1,"Presence only. Who the co-applicant is is never read; the fields that identify them are protected class and are refused."
loan_amount,yes,number,"dollars, $10,000 bin midpoint","Must satisfy value mod 10000 == 5000, e.g. 485000. The published file is already binned and the resolution budget is derived from that. Control-set dimension."
income,yes,number,"dollars, rounded to $1,000","DOLLARS, not thousands. The FFIEC file publishes thousands; this template does not. Must satisfy value mod 1000 == 0. Control-set dimension."
property_value,yes,number,"dollars, $10,000 bin midpoint","Must satisfy value mod 10000 == 5000. Tested dimension for reason code 4."
combined_loan_to_value_ratio,yes,number,percentage points,"Reported as filed, typically three decimals. Tested dimension for reason code 4. Its comparability floor is 7.02 percentage points once the matcher's loan-amount tolerance is propagated, so sub-point differences are not measurable."
debt_to_income_ratio,no,number,integer 36-49 or blank,"The public file reports an exact integer only between 36 and 49; outside that range it publishes a band, which has no numeric value and must be left BLANK. Tested dimension for reason code 1; residual-risk dimension otherwise."
open_end_line_of_credit,yes,integer,1-2,1 excludes the row from the population.
reverse_mortgage,yes,integer,1-2,1 excludes the row from the population.
business_or_commercial_purpose,yes,integer,1-2,1 excludes the row from the population.
